layer,subset_sweep_mean,subset_sweep_std,subset_locked,all_tasks_sweep_mean,all_tasks_locked,wt_null_mean,wt_null_std,sd_above_wt_null,p_wt,p_wt_reportable,significant_wt,runtime_seconds
0,0.7502121102693275,0.07202154554232713,0.8966821639898563,0.7761275459428012,0.8585239651416122,0.4971425343621474,0.11373656106769908,10.57828855905082,0.0,< 0.0051,True,2171.8
1,0.7373361458710994,0.11900695878325541,0.9203402366863905,0.7849660846418474,0.9630677057147645,0.4256794142800847,0.18418315767820237,7.946372102474739,0.0,< 0.0051,True,1373.9
2,0.7706645183987458,0.11779339803367615,0.9221682163989856,0.8036542992080182,0.9914320429026311,0.4135062497971805,0.18229637571854476,9.230091626643572,0.0,< 0.0051,True,976.3
3,0.7748476999483336,0.11660314126869925,0.9150781910397294,0.8045149765468027,0.9719708396178984,0.41711100879449825,0.17895916009199825,9.443563849235732,0.0,< 0.0051,True,849.8
4,0.7542335684879362,0.12257188155236115,0.9139264581572275,0.7912305153833842,0.9649426009720127,0.41795655082422517,0.1767708897539205,8.965515922109793,0.0,< 0.0051,True,864.4
5,0.750088263146103,0.11489859456037971,0.8673393913778529,0.7942857952916502,0.9715099715099715,0.414893022967991,0.18482648920012262,8.507395839387273,0.0,< 0.0051,True,760.3
6,0.6975799274474241,0.10941930840268779,0.8449809805579037,0.7754158981635765,0.9471153846153847,0.4188479772238381,0.1898310112648589,6.865822137601492,0.0,< 0.0051,True,682.8
7,0.7276778668307173,0.11496276694289646,0.952292899408284,0.7965105086820989,0.9203850343556226,0.4182585934184963,0.19628198225728058,7.3840648567308325,0.0,< 0.0051,True,612.8
8,0.7375949846417011,0.1146768489588729,0.941821639898563,0.7980412875176273,0.8943669348081112,0.4063169761678462,0.1968568347935876,7.879199044705762,0.0,< 0.0051,True,550.1
9,0.7330468634943468,0.12374763363141891,0.8672548605240913,0.8004146761353154,0.8940003351768058,0.3990503449898881,0.2030526596321604,7.706093827817534,0.0,< 0.0051,True,518.1
10,0.7725483580964816,0.12409121083991151,0.8302409129332207,0.8411747440996745,0.9427161890397184,0.39384733027017027,0.20006449527802642,8.879818110508097,0.0,< 0.0051,True,487.0
11,0.7728992886643483,0.1316073239829572,0.8026838546069316,0.8278044021899083,0.9294138595609184,0.39096382976608074,0.20569844748704746,8.747836051096073,0.0,< 0.0051,True,471.6
12,0.8073545709513139,0.11097013709011458,0.881931530008453,0.8449079231550934,0.9523629964806436,0.39581691186592344,0.20646581562907032,9.36943391068212,0.0,< 0.0051,True,475.7
13,0.8579952805697635,0.09549239946975,0.8832628909551987,0.8729170716963971,0.941752555723144,0.40789501231879177,0.2040426989082612,10.397143420558182,0.0,< 0.0051,True,443.7
14,0.8581483018118814,0.09717991042384201,0.8559911242603552,0.8615309937385807,0.9897771074241662,0.4082130474765144,0.20836297340731544,10.181423167001503,0.0,< 0.0051,True,444.6
15,0.8715013654074537,0.0964337131424878,0.8959002535925613,0.8835409957621945,0.9922176135411429,0.4077342023906598,0.2092386496900159,10.428321715756864,0.0,< 0.0051,True,424.2
16,0.9001120715236768,0.07483518991628096,0.9141272189349113,0.8973172742852007,0.9826755488520195,0.4112064172483819,0.20460285590626268,11.26757720000365,0.0,< 0.0051,True,411.7
17,0.8943025801481308,0.07944853381182362,0.9059171597633137,0.8860956673849139,0.9941867772750126,0.4033823457600663,0.2001203545244045,11.565500089428935,0.0,< 0.0051,True,410.5
18,0.8875060493100404,0.08284222513819364,0.9080092983939139,0.8787218036770849,0.9745265627618569,0.40481861244311895,0.19637354295355358,11.57328608986977,0.0,< 0.0051,True,414.0
19,0.8828579884331618,0.08772729579679814,0.9072273879966187,0.8841419376574651,0.9819423495894084,0.4081381441260952,0.19533601749392898,11.436818479396536,0.0,< 0.0051,True,417.6
20,0.8825159916263475,0.08915183001296238,0.902810650887574,0.882322659136362,0.9797113289760349,0.41463952036714,0.2022841265984845,10.850080914046412,0.0,< 0.0051,True,405.9
21,0.8725183644210392,0.08450609604551237,0.9176669484361791,0.8811353368925413,0.9817433383609855,0.4121458853275196,0.19895427995889037,10.854099021823854,0.0,< 0.0051,True,390.0
22,0.8728311477341311,0.0881092558435957,0.9327134404057482,0.8855253387722941,0.9693941679235796,0.41237685090603043,0.20105882356266214,10.743958438948567,0.0,< 0.0051,True,402.5
23,0.8680109186570094,0.0847204466877502,0.9235207100591716,0.8758206253060072,0.9526353276353277,0.4119031340220723,0.20087341157268196,10.64565230458742,0.0,< 0.0051,True,406.9
24,0.8657519424882766,0.08477511509366317,0.9298288250211328,0.8703540377840524,0.9319591084296966,0.4154231991367115,0.199234544279654,10.585591936384922,0.0,< 0.0051,True,397.8
25,0.8601021563079436,0.08552393554808768,0.9340448013524937,0.8721701200251599,0.9273504273504274,0.41351281643148713,0.20181183302272968,10.341528842983857,0.0,< 0.0051,True,369.4
26,0.8487470054849149,0.08953149996858041,0.8997252747252747,0.862251540133627,0.9275389643036702,0.41197446256541903,0.20101865904662714,10.164802255229947,0.0,< 0.0051,True,383.6
27,0.8523325776904243,0.08762495219396856,0.9104078613693998,0.8698076389092291,0.9435646053293113,0.4123024284338386,0.19731957710578732,10.416941267731703,0.0,< 0.0051,True,369.4
28,0.8549475476509112,0.09080821725235247,0.9175929839391378,0.8680947072297884,0.9162162728339199,0.41264625574514846,0.19874911752245386,10.388313949886506,0.0,< 0.0051,True,298.4
29,0.8675721346400984,0.07829578935360734,0.9372464074387152,0.874241984850167,0.918080693815988,0.41476897013127756,0.20044376265049485,10.562059401199974,0.0,< 0.0051,True,291.2
30,0.8567993172794273,0.0875408940996528,0.9519547759932375,0.8774160377494982,0.9111257750963634,0.4156233990983544,0.20169169065993234,10.231162457729939,0.0,< 0.0051,True,259.0
31,0.8583537735452202,0.08519664528052494,0.9568469991546914,0.8745558477266302,0.878917378917379,0.41358550767476937,0.20142717077322514,10.355603834705338,0.0,< 0.0051,True,231.5
32,0.8617783314031764,0.08685976079265127,0.9337806424344886,0.8691454950780291,0.8807817998994469,0.4118119019082087,0.19914692605426212,10.566623452290951,0.0,< 0.0051,True,216.4
