constraint,layer,scheme,corpus,n_rollouts_used,n_rollouts,n_rollouts_dropped,n_defined,auroc_raw,auroc,sign,null_global_mean,null_global_p95,p_global,null_task_mean,null_task_p95,p_task,degenerate_flag
emb_temp,7,rollout_max,success_ever,300,300,0,300,0.401415,0.598585,-,0.526782,0.565051,0.004995,0.528628,0.568723,0.005994,False
emb_temp,7,rollout_mean,success_ever,300,300,0,300,0.426268,0.573732,-,0.526332,0.565808,0.034965,0.523634,0.55789,0.016983,False
emb_temp,8,A,success_ever,300,300,0,155700,0.422408,0.577592,-,0.511212,0.527169,0.000999,0.515302,0.533828,0.000999,False
emb_temp,8,B,success_ever,300,300,0,46800,0.449664,0.550336,-,0.519849,0.550409,0.051948,0.517823,0.54342,0.022977,False
emb_temp,8,rollout_max,success_ever,300,300,0,300,0.396221,0.603779,-,0.526597,0.56471,0.001998,0.529438,0.569178,0.003996,False
emb_temp,8,rollout_mean,success_ever,300,300,0,300,0.421343,0.578657,-,0.526337,0.565599,0.020979,0.523813,0.559807,0.012987,False
emb_temp,9,A,success_ever,300,300,0,155700,0.425051,0.574949,-,0.511218,0.527363,0.000999,0.514536,0.532889,0.000999,False
emb_temp,9,B,success_ever,300,300,0,46800,0.448796,0.551204,-,0.519773,0.550068,0.046953,0.517811,0.544095,0.021978,False
emb_temp,9,rollout_max,success_ever,300,300,0,300,0.398191,0.601809,-,0.526693,0.566459,0.001998,0.529037,0.569522,0.003996,False
emb_temp,9,rollout_mean,success_ever,300,300,0,300,0.421432,0.578568,-,0.526405,0.565581,0.021978,0.523911,0.559386,0.011988,False
emb_temp,10,A,success_ever,300,300,0,155700,0.426882,0.573118,-,0.511167,0.527699,0.000999,0.514392,0.532712,0.000999,False
emb_temp,10,B,success_ever,300,300,0,46800,0.450909,0.549091,-,0.519805,0.549663,0.052947,0.517838,0.544108,0.02997,False
emb_temp,10,rollout_max,success_ever,300,300,0,300,0.400967,0.599033,-,0.526639,0.567252,0.001998,0.530065,0.57042,0.008991,False
emb_temp,10,rollout_mean,success_ever,300,300,0,300,0.42094,0.57906,-,0.526426,0.566267,0.01998,0.524104,0.559675,0.010989,False
emb_temp,11,A,success_ever,300,300,0,155700,0.430733,0.569267,-,0.511014,0.527196,0.000999,0.51249,0.529553,0.000999,False
emb_temp,11,B,success_ever,300,300,0,46800,0.454296,0.545704,-,0.519786,0.549797,0.067932,0.518146,0.544203,0.044955,False
emb_temp,11,rollout_max,success_ever,300,300,0,300,0.400027,0.599973,-,0.52641,0.565718,0.002997,0.52907,0.569807,0.004995,False
emb_temp,11,rollout_mean,success_ever,300,300,0,300,0.421522,0.578478,-,0.526425,0.565897,0.021978,0.524139,0.559811,0.012987,False
emb_temp,12,A,success_ever,300,300,0,155700,0.433223,0.566777,-,0.511008,0.526963,0.000999,0.511867,0.528688,0.000999,False
emb_temp,12,B,success_ever,300,300,0,46800,0.45344,0.54656,-,0.519861,0.549696,0.063936,0.518197,0.544799,0.043956,False
emb_temp,12,rollout_max,success_ever,300,300,0,300,0.397385,0.602615,-,0.526403,0.564836,0.000999,0.529623,0.569798,0.002997,False
emb_temp,12,rollout_mean,success_ever,300,300,0,300,0.423358,0.576642,-,0.526506,0.565275,0.024975,0.52421,0.560255,0.013986,False
emb_temp,13,A,success_ever,300,300,0,155700,0.434139,0.565861,-,0.510872,0.526501,0.000999,0.511876,0.528381,0.000999,False
emb_temp,13,B,success_ever,300,300,0,46800,0.456231,0.543769,-,0.519799,0.549539,0.078921,0.518304,0.54541,0.053946,False
emb_temp,13,rollout_max,success_ever,300,300,0,300,0.398549,0.601451,-,0.526533,0.564375,0.002997,0.529313,0.570335,0.002997,False
emb_temp,13,rollout_mean,success_ever,300,300,0,300,0.427836,0.572164,-,0.526591,0.565136,0.02997,0.524262,0.559814,0.018981,False
emb_temp,14,A,success_ever,300,300,0,155700,0.433904,0.566096,-,0.510836,0.526739,0.000999,0.511794,0.528547,0.000999,False
emb_temp,14,B,success_ever,300,300,0,46800,0.456122,0.543878,-,0.519768,0.549192,0.078921,0.518433,0.545063,0.054945,False
emb_temp,14,rollout_max,success_ever,300,300,0,300,0.392593,0.607407,-,0.526777,0.564746,0.001998,0.52884,0.569446,0.002997,False
emb_temp,14,rollout_mean,success_ever,300,300,0,300,0.424925,0.575075,-,0.526631,0.565378,0.026973,0.524096,0.559762,0.013986,False
emb_temp,15,A,success_ever,300,300,0,155700,0.43289,0.56711,-,0.510848,0.526407,0.000999,0.511974,0.528797,0.000999,False
emb_temp,15,B,success_ever,300,300,0,46800,0.454711,0.545289,-,0.519727,0.549263,0.06993,0.518344,0.544957,0.050949,False
emb_temp,15,rollout_max,success_ever,300,300,0,300,0.38919,0.61081,-,0.526787,0.564959,0.000999,0.52989,0.568589,0.002997,False
emb_temp,15,rollout_mean,success_ever,300,300,0,300,0.422059,0.577941,-,0.526594,0.566459,0.021978,0.524063,0.560078,0.013986,False
emb_temp,16,A,success_ever,300,300,0,155700,0.431069,0.568931,-,0.510906,0.526357,0.000999,0.51255,0.529346,0.000999,False
emb_temp,16,B,success_ever,300,300,0,46800,0.453075,0.546925,-,0.519754,0.549592,0.062937,0.518224,0.545324,0.045954,False
emb_temp,16,rollout_max,success_ever,300,300,0,300,0.376875,0.623125,-,0.526705,0.564466,0.000999,0.532099,0.574612,0.001998,False
emb_temp,16,rollout_mean,success_ever,300,300,0,300,0.419686,0.580314,-,0.526593,0.566661,0.01998,0.524042,0.55965,0.011988,False
emb_temp,17,A,success_ever,300,300,0,155700,0.430364,0.569636,-,0.510915,0.526644,0.000999,0.512529,0.529262,0.000999,False
emb_temp,17,B,success_ever,300,300,0,46800,0.451741,0.548259,-,0.519738,0.549379,0.05994,0.51828,0.545313,0.03996,False
emb_temp,17,rollout_max,success_ever,300,300,0,300,0.36568,0.63432,-,0.526753,0.564198,0.000999,0.531675,0.574565,0.000999,False
emb_temp,17,rollout_mean,success_ever,300,300,0,300,0.417357,0.582643,-,0.5266,0.566094,0.015984,0.524109,0.559543,0.00999,False
emb_temp,18,A,success_ever,300,300,0,155700,0.431203,0.568797,-,0.510901,0.526531,0.000999,0.512303,0.528748,0.000999,False
